attendance,away_final_score,away_team,date,elapsed_time,g_id,home_final_score,home_team,start_time,umpire_1B,umpire_2B,umpire_3B,umpire_HP,venue_name,weather,wind,delay
46678,8,bos,4/11/2015,193,201500062,4,nya,1:08 PM,Mike Winters,Mark Wegner,Marty Foster,Mike Muchlinski,Yankee Stadium,"55 degrees, partly cloudy","21 mph, L to R",0
43812,9,chn,4/11/2015,199,201500063,5,col,6:12 PM,Eric Cooper,Rob Drake,Quinn Wolcott,Gary Cederstrom,Coors Field,"67 degrees, partly cloudy","2 mph, L to R",0
23161,9,det,4/11/2015,256,201500064,6,cle,4:10 PM,Dan Iassogna,CB Bucknor,Lance Barrett,Dale Scott,Progressive Field,"53 degrees, sunny","4 mph, L to R",0
36833,2,hou,4/11/2015,198,201500065,6,tex,7:08 PM,Laz Diaz,Chris Guccione,Cory Blaser,Jeff Nelson,Globe Life Park in Arlington,"71 degrees, partly cloudy","6 mph, L to R",0
44154,6,kca,4/11/2015,161,201500066,4,ana,6:06 PM,Jim Wolf,Adam Hamari,Bill Miller,Doug Eddings,Angel Stadium of Anaheim,"68 degrees, clear","6 mph, Out to RF",0
37636,0,lan,4/11/2015,156,201500067,6,ari,5:10 PM,Angel Hernandez,Scott Barry,Chris Conroy,Ted Barrett,Chase Field,"83 degrees, sunny","10 mph, Varies",0
22317,4,min,4/11/2015,174,201500068,5,cha,1:09 PM,Sam Holbrook,Bill Welke,James Hoye,John Hirschbeck,U.S. Cellular Field,"72 degrees, sunny","7 mph, R to L",0
36056,3,nyn,4/11/2015,145,201500069,5,atl,7:14 PM,Marvin Hudson,Jim Reynolds,Paul Schrieber,Fieldin Culbreth,Turner Field,"76 degrees, partly cloudy","8 mph, L to R",0
41108,0,pit,4/11/2015,146,201500070,6,mil,6:10 PM,Toby Basner,Paul Nauert,Mike Estabrook,Dana DeMuth,Miller Park,"69 degrees, roof closed","0 mph, None",0
24355,5,sea,4/11/2015,219,201500071,4,oak,1:07 PM,Mike DiMuro,Tripp Gibson III,Brian Gorman,Mark Carlson,O.co Coliseum,"63 degrees, partly cloudy","3 mph, Out to RF",0
42823,2,sfn,4/11/2015,194,201500072,10,sdn,5:41 PM,Ron Kulpa,Brian Knight,Vic Carapazza,Larry Vanover,Petco Park,"67 degrees, sunny","10 mph, R to L",0
41525,4,sln,4/11/2015,156,201500073,1,cin,1:11 PM,Kerwin Danley,Lance Barksdale,D.J. Reyburn,Joe West,Great American Ball Park,"56 degrees, sunny","4 mph, L to R",0
17830,2,tba,4/11/2015,152,201500074,0,mia,4:10 PM,Phil Cuzzi,Tony Randazzo,Will Little,Gerry Davis,Marlins Park,"75 degrees, roof closed","0 mph, None",0
38897,1,tor,4/11/2015,154,201500075,7,bal,7:07 PM,Mike Everitt,Tim Timmons,Todd Tichenor,Tim Welke,Oriole Park at Camden Yards,"61 degrees, clear","14 mph, Out to LF",0
23740,2,was,4/11/2015,205,201500076,3,phi,7:06 PM,Hunter Wendelstedt,Bob Davidson,David Rackley,Jerry Layne,Citizens Bank Park,"61 degrees, clear","10 mph, In from LF",0
43019,4,bos,4/12/2015,204,201500077,14,nya,8:08 PM,Mark Wegner,Marty Foster,Mike Muchlinski,Mike Winters,Yankee Stadium,"54 degrees, clear","12 mph, Out to LF",0
41363,6,chn,4/12/2015,185,201500078,5,col,2:11 PM,Rob Drake,Quinn Wolcott,Gary Cederstrom,Eric Cooper,Coors Field,"65 degrees, partly cloudy","13 mph, In from RF",0
19555,8,det,4/12/2015,193,201500079,5,cle,1:10 PM,CB Bucknor,Lance Barrett,Dale Scott,Dan Iassogna,Progressive Field,"60 degrees, sunny","8 mph, In from CF",0
35276,6,hou,4/12/2015,264,201500080,4,tex,2:06 PM,Chris Guccione,Cory Blaser,Jeff Nelson,Laz Diaz,Globe Life Park in Arlington,"73 degrees, cloudy","10 mph, R to L",0
37060,9,kca,4/12/2015,176,201500081,2,ana,12:38 PM,Adam Hamari,Bill Miller,Doug Eddings,Jim Wolf,Angel Stadium of Anaheim,"73 degrees, sunny","4 mph, L to R",0
29678,7,lan,4/12/2015,207,201500082,4,ari,1:10 PM,Scott Barry,Chris Conroy,Ted Barrett,Angel Hernandez,Chase Field,"77 degrees, partly cloudy","8 mph, Out to CF",0
23057,2,min,4/12/2015,176,201500083,6,cha,1:09 PM,Bill Welke,James Hoye,John Hirschbeck,Sam Holbrook,U.S. Cellular Field,"71 degrees, partly cloudy","14 mph, R to L",0
28192,4,nyn,4/12/2015,157,201500084,3,atl,1:36 PM,Jim Reynolds,Paul Schrieber,Fieldin Culbreth,Marvin Hudson,Turner Field,"63 degrees, cloudy","8 mph, R to L",0
39017,10,pit,4/12/2015,180,201500085,2,mil,1:11 PM,Paul Nauert,Mike Estabrook,Dana DeMuth,Toby Basner,Miller Park,"70 degrees, roof closed","0 mph, None",0
32282,8,sea,4/12/2015,191,201500086,7,oak,1:07 PM,Tripp Gibson III,Brian Gorman,Mark Carlson,Mike DiMuro,O.co Coliseum,"67 degrees, partly cloudy","7 mph, Out to RF",0
40184,4,sfn,4/12/2015,181,201500087,6,sdn,1:11 PM,Brian Knight,Vic Carapazza,Larry Vanover,Ron Kulpa,Petco Park,"67 degrees, sunny","9 mph, L to R",0
41446,7,sln,4/12/2015,243,201500088,5,cin,1:11 PM,Lance Barksdale,D.J. Reyburn,Joe West,Kerwin Danley,Great American Ball Park,"67 degrees, sunny","4 mph, R to L",0
20199,8,tba,4/12/2015,196,201500089,5,mia,1:10 PM,Tony Randazzo,Will Little,Gerry Davis,Phil Cuzzi,Marlins Park,"74 degrees, roof closed","0 mph, None",0
32522,10,tor,4/12/2015,197,201500090,7,bal,1:39 PM,Tim Timmons,Todd Tichenor,Tim Welke,Mike Everitt,Oriole Park at Camden Yards,"60 degrees, sunny","3 mph, L to R",0
30094,4,was,4/12/2015,199,201500091,3,phi,1:38 PM,Bob Davidson,David Rackley,Jerry Layne,Hunter Wendelstedt,Citizens Bank Park,"62 degrees, sunny","3 mph, Out to CF",0
18401,6,ana,4/13/2015,197,201500092,3,tex,7:09 PM,Lance Barrett,Dale Scott,Dan Iassogna,CB Bucknor,Globe Life Park in Arlington,"64 degrees, cloudy","15 mph, L to R",0
19538,8,ari,4/13/2015,182,201500093,4,sdn,7:11 PM,Bill Miller,Adrian Johnson,Jim Wolf,Adam Hamari,Petco Park,"64 degrees, partly cloudy","10 mph, R to L",0
26390,6,cin,4/13/2015,182,201500094,7,chn,7:05 PM,Paul Emmel,Andy Fletcher,Jordan Baker,Jerry Meals,Wrigley Field,"62 degrees, partly cloudy","15 mph, L to R",0
42019,2,col,4/13/2015,178,201500095,0,sfn,1:41 PM,Brian Gorman,Mark Carlson,Mike DiMuro,Tripp Gibson III,AT&T Park,"63 degrees, partly cloudy","10 mph, Out to CF",0
39933,4,det,4/13/2015,151,201500096,5,pit,1:38 PM,David Rackley,Jerry Layne,Hunter Wendelstedt,Bob Davidson,PNC Park,"76 degrees, partly cloudy","16 mph, Out to LF",0
40123,12,kca,4/13/2015,170,201500097,3,min,3:16 PM,Mike Estabrook,Dana DeMuth,Joe West,Paul Nauert,Target Field,"61 degrees, partly cloudy","21 mph, Out to CF",0
13417,2,mia,4/13/2015,182,201500098,3,atl,8:02 PM,Brian O'Nora,Alan Porter,Mark Ripperger,Jeff Kellogg,Turner Field,"67 degrees, overcast","3 mph, R to L",91
47875,5,mil,4/13/2015,181,201500099,4,sln,3:20 PM,James Hoye,John Hirschbeck,John Tumpane,Bill Welke,Busch Stadium,"67 degrees, cloudy","12 mph, In from LF",0
21633,6,nya,4/13/2015,189,201500100,5,bal,7:11 PM,Gary Cederstrom,Sean Barber,Eric Cooper,Lance Barksdale,Oriole Park at Camden Yards,"68 degrees, clear","9 mph, In from LF",0
19279,8,oak,4/13/2015,171,201500101,1,hou,7:11 PM,Todd Tichenor,Tim Welke,Mike Everitt,Tim Timmons,Minute Maid Park,"82 degrees, partly cloudy","8 mph, R to L",0
43947,0,phi,4/13/2015,173,201500102,2,nyn,1:14 PM,Alfonso Marquez,Dan Bellino,Bruce Dreckman,Tom Hallion,Citi Field,"63 degrees, sunny","9 mph, Out to LF",0
42202,5,sea,4/13/2015,184,201500103,6,lan,7:09 PM,Greg Gibson,Marvin Hudson,Chad Fairchild,Jim Joyce,Dodger Stadium,"67 degrees, clear","3 mph, Out to RF",0
48414,2,tba,4/13/2015,150,201500104,1,tor,7:29 PM,Cory Blaser,Jeff Nelson,Laz Diaz,Chris Guccione,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
37203,4,was,4/13/2015,181,201500105,9,bos,3:13 PM,Jim Reynolds,Paul Schrieber,Clint Fagan,Manny Gonzalez,Fenway Park,"69 degrees, partly cloudy","16 mph, Out to LF",0
21805,2,ana,4/14/2015,177,201500106,8,tex,7:07 PM,Dan Iassogna,CB Bucknor,Toby Basner,Lance Barrett,Globe Life Park in Arlington,"60 degrees, cloudy","3 mph, L to R",0
20102,1,ari,4/14/2015,151,201500107,5,sdn,7:10 PM,Adrian Johnson,Jim Wolf,Adam Hamari,Bill Miller,Petco Park,"66 degrees, clear","8 mph, L to R",0
10642,4,cha,4/14/2015,181,201500108,1,cle,7:11 PM,Vic Carapazza,Larry Vanover,Ron Kulpa,Brian Knight,Progressive Field,"48 degrees, cloudy","6 mph, In from CF",0
27525,3,cin,4/14/2015,165,201500109,2,chn,7:04 PM,Andy Fletcher,Jordan Baker,Jerry Meals,Paul Emmel,Wrigley Field,"51 degrees, partly cloudy","2 mph, In from CF",0
41051,4,col,4/14/2015,189,201500110,1,sfn,7:16 PM,Mark Carlson,Mike DiMuro,Tripp Gibson III,Brian Gorman,AT&T Park,"58 degrees, clear","22 mph, Out to CF",0
31755,2,det,4/14/2015,170,201500111,0,pit,7:08 PM,Jerry Layne,Hunter Wendelstedt,Bob Davidson,David Rackley,PNC Park,"63 degrees, cloudy","7 mph, In from RF",0
15765,8,mia,4/14/2015,180,201500112,2,atl,7:10 PM,Alan Porter,Mark Ripperger,Jeff Kellogg,Brian O'Nora,Turner Field,"79 degrees, partly cloudy","7 mph, L to R",0
19283,3,nya,4/14/2015,149,201500113,4,bal,7:07 PM,Sean Barber,Eric Cooper,Lance Barksdale,Gary Cederstrom,Oriole Park at Camden Yards,"56 degrees, overcast","4 mph, In from CF",0
18935,4,oak,4/14/2015,178,201500114,0,hou,7:10 PM,Tim Welke,Mike Everitt,Tim Timmons,Todd Tichenor,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
39489,5,phi,4/14/2015,192,201500115,6,nyn,7:11 PM,Dan Bellino,Bruce Dreckman,Tom Hallion,Alfonso Marquez,Citi Field,"65 degrees, cloudy","8 mph, In from RF",0
43115,5,sea,4/14/2015,220,201500116,6,lan,7:10 PM,Marvin Hudson,Chad Fairchild,Jim Joyce,Greg Gibson,Dodger Stadium,"67 degrees, clear","0 mph, None",0
17264,3,tba,4/14/2015,186,201500117,2,tor,7:07 PM,Jeff Nelson,Laz Diaz,Chris Guccione,Cory Blaser,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
35258,7,was,4/14/2015,203,201500118,8,bos,6:10 PM,Paul Schrieber,Clint Fagan,Manny Gonzalez,Jim Reynolds,Fenway Park,"63 degrees, cloudy","11 mph, L to R",0
25757,10,ana,4/15/2015,193,201500119,2,tex,1:07 PM,CB Bucknor,Toby Basner,Lance Barrett,Dan Iassogna,Globe Life Park in Arlington,"70 degrees, sunny","3 mph, In from RF",0
23104,2,ari,4/15/2015,161,201500120,3,sdn,6:12 PM,Jim Wolf,Adam Hamari,Bill Miller,Adrian Johnson,Petco Park,"70 degrees, clear","8 mph, Out to RF",0
11042,2,cha,4/15/2015,178,201500121,4,cle,12:11 PM,Larry Vanover,Ron Kulpa,Brian Knight,Vic Carapazza,Progressive Field,"52 degrees, partly cloudy","11 mph, In from CF",0
29205,0,cin,4/15/2015,159,201500122,5,chn,7:05 PM,Jordan Baker,Jerry Meals,Paul Emmel,Andy Fletcher,Wrigley Field,"49 degrees, partly cloudy","18 mph, In from RF",0
41188,4,col,4/15/2015,171,201500123,2,sfn,7:14 PM,Mike DiMuro,Tripp Gibson III,Brian Gorman,Mark Carlson,AT&T Park,"64 degrees, clear","16 mph, Out to CF",0
19509,1,det,4/15/2015,172,201500124,0,pit,7:06 PM,Hunter Wendelstedt,Bob Davidson,David Rackley,Jerry Layne,PNC Park,"64 degrees, cloudy","9 mph, In from LF",0
21362,1,kca,4/15/2015,145,201500125,3,min,7:10 PM,Dana DeMuth,Joe West,Paul Nauert,Mike Estabrook,Target Field,"67 degrees, partly cloudy","16 mph, R to L",0
18342,6,mia,4/15/2015,145,201500126,2,atl,12:10 PM,Mark Ripperger,Jeff Kellogg,Brian O'Nora,Alan Porter,Turner Field,"68 degrees, cloudy","2 mph, R to L",0
40826,2,mil,4/15/2015,170,201500127,4,sln,7:15 PM,John Hirschbeck,John Tumpane,Bill Welke,James Hoye,Busch Stadium,"64 degrees, cloudy","11 mph, In from RF",0
23409,5,nya,4/15/2015,194,201500128,7,bal,7:08 PM,Eric Cooper,Lance Barksdale,Gary Cederstrom,Sean Barber,Oriole Park at Camden Yards,"66 degrees, overcast","1 mph, Out to CF",0
19777,1,oak,4/15/2015,162,201500129,6,hou,7:12 PM,Mike Everitt,Tim Timmons,Todd Tichenor,Tim Welke,Minute Maid Park,"78 degrees, clear","5 mph, In from LF",0
21052,1,phi,4/15/2015,156,201500130,6,nyn,7:10 PM,Bruce Dreckman,Tom Hallion,Alfonso Marquez,Dan Bellino,Citi Field,"66 degrees, partly cloudy","14 mph, In from LF",0
51287,2,sea,4/15/2015,173,201500131,5,lan,7:15 PM,Chad Fairchild,Jim Joyce,Greg Gibson,Marvin Hudson,Dodger Stadium,"72 degrees, clear","5 mph, Out to RF",0
15086,7,tba,4/15/2015,182,201500132,12,tor,7:06 PM,Laz Diaz,Chris Guccione,Cory Blaser,Jeff Nelson,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
33493,10,was,4/15/2015,188,201500133,5,bos,1:37 PM,Clint Fagan,Manny Gonzalez,Jim Reynolds,Paul Schrieber,Fenway Park,"66 degrees, partly cloudy","10 mph, In from LF",0
41545,7,ari,4/16/2015,260,201500134,6,sfn,7:15 PM,Chris Segal,Lance Barrett,Dan Iassogna,CB Bucknor,AT&T Park,"62 degrees, clear","12 mph, Out to RF",0
17449,5,kca,4/16/2015,181,201500135,8,min,12:11 PM,Joe West,Paul Nauert,Mike Estabrook,Dana DeMuth,Target Field,"63 degrees, partly cloudy","8 mph, R to L",0
20556,5,mia,4/16/2015,181,201500136,7,nyn,7:12 PM,Lance Barksdale,Gary Cederstrom,Sean Barber,Eric Cooper,Citi Field,"59 degrees, clear","11 mph, Out to LF",0
40079,0,mil,4/16/2015,174,201500137,4,sln,12:45 PM,John Tumpane,Bill Welke,James Hoye,John Hirschbeck,Busch Stadium,"72 degrees, partly cloudy","1 mph, In from CF",0
24768,2,phi,4/16/2015,136,201500138,5,was,7:05 PM,Ron Kulpa,Brian Knight,Vic Carapazza,Larry Vanover,Nationals Park,"70 degrees, cloudy","5 mph, Out to LF",0
14433,4,tba,4/16/2015,180,201500139,2,tor,7:06 PM,Chris Guccione,Cory Blaser,Jeff Nelson,Laz Diaz,Rogers Centre,"68 degrees, roof closed","0 mph, None",0
22660,6,ana,4/17/2015,177,201500140,3,hou,7:11 PM,Paul Nauert,Mike Estabrook,Dana DeMuth,Toby Basner,Minute Maid Park,"73 degrees, roof closed","0 mph, None",0
41550,9,ari,4/17/2015,180,201500141,0,sfn,7:15 PM,Lance Barrett,Dan Iassogna,CB Bucknor,Chris Segal,AT&T Park,"54 degrees, clear","11 mph, Out to CF",0
